group_lei,group_name,org_name,org_country,decision,confidence,is_jv,share,status,valid_from,valid_to,evidence,source
,DANA INCORPORATED,DANA-FARBER CANCER INST,US,refuse,,,,,,,"Institut de cancérologie de Boston, nommé d'après le philanthrope Charles A. Dana — sans lien avec l'équipementier Dana Inc.",dana-farber.org
,DANA INCORPORATED,DANA-FARBER CANCER INSTITUTE INC,US,refuse,,,,,,,Institut de cancérologie de Boston — sans lien avec Dana Inc.,dana-farber.org
,DANA INCORPORATED,DANA TM4 ITALIA,IT,attach,0.9,false,,,,,Filiale e-mobilité Dana TM4 (Italie),dana.com
,DANA INCORPORATED,DANA TRANSMISSION SYSTEMS ITALIA SRL,IT,attach,0.9,false,,,,,Filiale transmissions Dana (Italie),dana.com
,DANA INCORPORATED,"DANA PHARMACEUTICAL CONSULTING, INC.",US,refuse,,,,,,,Conseil pharmaceutique américain sans lien avec Dana Inc.,registre public US
,AIRBUS SE,AIRBUS,FR,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS OPERATIONS GMBH,DE,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS DEFENCE AND SPACE GMBH,DE,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS OPERATIONS SL,ES,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS DEFENCE AND SPACE SAS,FR,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS DS SAS,FR,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS CYBERSECURITY SAS,FR,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS HELICOPTERS ESPANA SA,ES,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS DS GMBH,DE,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS GROUP LIMITED,GB,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS PROTECT GMBH,DE,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS ITALIA SPA,IT,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS NETHERLANDS BV,NL,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS GEOTECH SA,ES,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS URBAN MOBILITY GMBH,DE,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS FRANCE SAS,FR,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS DS LIMITED,GB,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS HELICOPTERS POLSKA SP ZOO,PL,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,Airbus Operations S.A.S.,FR,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS SAS,FR,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,Airbus Group Spain,,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,AIRBUS SE,AIRBUS AEROSTRUCTURES GMBH,DE,attach,0.95,false,,,,,"Filiale Airbus — dénomination du groupe, organigramme public",airbus.com · registres nationaux
,THALES,THALES,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,Thales Alenia Space Italia,IT,attach,0.9,true,67,,,,"Coentreprise Thales Alenia Space — 67 % Thales / 33 % Leonardo, structure publique des deux groupes",thalesgroup.com · leonardo.com
,LEONARDO - SOCIETA' PER AZIONI,Thales Alenia Space Italia,IT,attach,0.9,true,33,,,,"Coentreprise Thales Alenia Space — 67 % Thales / 33 % Leonardo, structure publique des deux groupes",thalesgroup.com · leonardo.com
,THALES,THALES SERVICES NUMERIQUES SAS,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES ITALIA SPA,IT,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES DIS FRANCE SAS,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES RESEARCH & TECHNOLOGY (UK) LIMITED,GB,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,"THALES EDISOFT PORTUGAL, S.A.",PT,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES TRANSPORTATION SYSTEMS GMBH,DE,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES DIS CZECH REPUBLIC SRO,CZ,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES ELECTRON DEVICES SA,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,Thales Cyber Solutions SAS,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES ROMANIA SRL,RO,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES AVIONICS LCD SA,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES OPTRONIQUE SAS,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES ALENIA SPACE SWITZERLAND AG,CH,attach,0.9,true,67,,,,"Coentreprise Thales Alenia Space — 67 % Thales / 33 % Leonardo, structure publique des deux groupes",thalesgroup.com · leonardo.com
,LEONARDO - SOCIETA' PER AZIONI,THALES ALENIA SPACE SWITZERLAND AG,CH,attach,0.9,true,33,,,,"Coentreprise Thales Alenia Space — 67 % Thales / 33 % Leonardo, structure publique des deux groupes",thalesgroup.com · leonardo.com
,THALES,THALES ALENIA SPACE LUXEMBOURG,LU,attach,0.9,true,67,,,,"Coentreprise Thales Alenia Space — 67 % Thales / 33 % Leonardo, structure publique des deux groupes",thalesgroup.com · leonardo.com
,LEONARDO - SOCIETA' PER AZIONI,THALES ALENIA SPACE LUXEMBOURG,LU,attach,0.9,true,33,,,,"Coentreprise Thales Alenia Space — 67 % Thales / 33 % Leonardo, structure publique des deux groupes",thalesgroup.com · leonardo.com
,THALES,THALES SECURITY SOLUTIONS & SERVICES SAS,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES TRAINING AND SIMULATION SAS,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES ANGENIEUX SAS,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES SAFARE SA,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES DIS ESPANA SA,ES,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES ALENIA SPACE DEUTSCHLAND GMBH,DE,attach,0.9,true,67,,,,"Coentreprise Thales Alenia Space — 67 % Thales / 33 % Leonardo, structure publique des deux groupes",thalesgroup.com · leonardo.com
,LEONARDO - SOCIETA' PER AZIONI,THALES ALENIA SPACE DEUTSCHLAND GMBH,DE,attach,0.9,true,33,,,,"Coentreprise Thales Alenia Space — 67 % Thales / 33 % Leonardo, structure publique des deux groupes",thalesgroup.com · leonardo.com
,THALES,THALES INFORMATION SYSTEMS GMBH,AT,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES MICROELECTRONICS SAS,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES HELLAS MONOPROSOPI ANONYMI ETAIREIA PARAGOGIS EMPORIAS KAI YPIRESION ILEKTRONIKOU EXOPLISMOU,GR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES UNDERWATER SYSTEMS SAS,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES SECURITY SYSTEMS SAS,FR,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES PROGRAMAS DE ELECTRONICA Y COMUNICACIONES SA,ES,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,Thales Software Systems (Shanghai) Co. Ltd,CN,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES RAIL SIGNALLING SOLUTIONS INC,CA,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES ESPAÑA GRP S.A.,ES,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES INFORMATION SYSTEMS SA,BE,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,THALES AIR SYSTEMS & ELECTRON DEVICES GMBH,DE,attach,0.95,false,,,,,"Filiale Thales — dénomination du groupe, organigramme public",thalesgroup.com · registres nationaux
,THALES,Thales-Akademie für Wirtschaft und Philosophie gemeinnützige GmbH,DE,refuse,,,,,,,Académie allemande nommée d'après le philosophe Thalès de Milet — aucun lien avec Thales SA,thales-akademie.de
,SAFRAN,SAFRAN AIRCRAFT ENGINES,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN ELECTRICAL & POWER,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN HELICOPTER ENGINES,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN AEROSYSTEMS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN SA,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN ELECTRICAL & POWER CHATOU SAS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN NACELLES,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN ELECTRONICS & DEFENSE,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN TRANSMISSION SYSTEMS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN LANDING SYSTEMS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN POWER UNITS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN SPACECRAFT PROPULSION,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN PASSENGER INNOVATIONS GERMANY GMBH,DE,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN AEROTECHNICS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN ELECTRONICS & DEFENSE COCKPIT SOLUTIONS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN ELECTRONICS & DEFENSE SPAIN SOCIEDAD LIMITADA,ES,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN ELECTRICAL & POWER UK LTD,GB,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN VENTILATION SYSTEMS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN DATA SYSTEMS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN CABIN GERMANY GMBH,DE,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN SEATS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN CERAMICS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN TRUSTED 4D SAS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN ENGINEERING SERVICES,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN FILTRATION SYSTEMS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN TIMING TECHNOLOGIES SA,CH,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN ELECTRICAL COMPONENTS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,Safran Cabin Catering B.V.,NL,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN ADDITIVE MANUFACTURING CAMPUS,FR,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN ENGINEERING SERVICES GMBH,DE,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN LANDING SYSTEMS UK LIMITED,GB,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN TRANSMISSION SYSTEMS POLAND SP Z O O,PL,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,SAFRAN,SAFRAN NACELLES LIMITED,GB,attach,0.95,false,,,,,"Filiale Safran — dénomination du groupe, organigramme public",safran-group.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS AKTIENGESELLSCHAFT OESTERREICH,AT,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,Siemens Emobility Charging B.V.,NL,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS SPA,IT,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS INDUSTRY SOFTWARE NETHERLANDS BV,NL,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS PROCESS SYSTEMS ENGINEERING LIMITED,GB,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS STIFTUNG,DE,refuse,,,,,,,"Fondation indépendante à but non lucratif, hors périmètre de consolidation de Siemens AG",siemens-stiftung.org
,Siemens Aktiengesellschaft,SIEMENS NEDERLAND NV,NL,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS INDUSTRY SOFTWARE LTD,IL,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS INDUSTRY SOFTWARE A LIMITEDLIABILITY COMPANY UNDER THE PRIVATEFREE ZONES REGIME,EG,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS SA,PT,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS INDUSTRY SOFTWARE SRL,IT,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS INDUSTRY SOFTWARE KFT,HU,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS SRO,CZ,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
