n,source_id,acronym,meur,titre,resume_court,label_propose,raison
1,716864,DADIYSO COMP,0.34,DESIGN AGAINST DISTORTION WITH LAYUP AND SHAPE OPTIMIZATION OF CARBON-EPOXY AEROSPACE COMPOSITES,"In the “DADIYSO COMP” project Swerea SICOMP covers the entire topic and will be the only partner. Swerea SICOMP will develop an FE-based simulation tool for rapid predictions of cure induced part distortions including sub models for cure kinetics, glass transition, and constitutive relations among other aspects. A balance between accuracy, complexity, and simulation time will be achieved which wil",core,Optimisation de drapage et de forme contre la distorsion de pièces carbone-époxy.
2,893864,DACUS,1.74,Demand and Capacity Optimisation in U-space,"DACUS aims at the development of a service-oriented Demand and Capacity Balancing (DCB) process for drone traffic management. This overall objective responds to an operational and technical need in European drone operations for a tangible solution integrating the functionalities of the SESAR U-space services for Drone Traffic Management (DTM) to produce timely, efficient and safe decisions.The pro",core,"Le texte porte « drone », « sesar » — objet développé apparemment aéronautique."
3,755610,AlForAMA,0.60,Innovative Al alloy For aircraft structural parts using Additive MAnufacturing technology,"The main goal of AlForAMA project is to develop an innovative High Strength Al alloy, feasible by powder metallurgy and suitable for Selective Laser Melting (SLM), with improved weldability and increased mechanical and corrosion resistance in comparison to cast grades Al alloys currently employed in Additive Manufacturing (AM).AlForAMA project is focused on powder bed based additive manufacturing ",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
4,270584,ELTESTSYS,0.44,ELECTRICAL TEST BENCH DRIVE SYSTEMS: MECHANICAL INTERFACES,"The aim of this project is to design, manufacture, commissioning and validation of four complete and identical driving systems for a ground test bench intended to be used for aircraft starters/generators testing. The four driving systems will be integrated in one single product and will function simultaneously or not, independently and/or interdependently. Each system will drive one single generat",core,"Le texte porte « maintenance », « aircraft » — objet développé apparemment aéronautique."
5,945529,GAM-2020-TE2,4.64,TA “Technology Evaluator” (GAM-2020-TE2),This Grant Agreement refers to TE activities in the period 2020 to mid 2024.,core,« Technology Evaluator » — l'évaluation environnementale des technologies d'un programme aéronautique.
6,265695,AFDAR,2.66,Advanced Flow Diagnostics for Aeronautical Research,"The objective of AFDAR is to develop, assess and demonstrate new image-based experimental technologies for the analysis of aerodynamic systems and aerospace propulsion components. The main development focus is on new three-dimensional methods based on Particle Image Velocimetry (PIV) to measure the flow field around aircraft components, and on the high-speed version of the planar technique for the",core,"Le texte porte « aeronautical », « aeronautic », « aircraft » — objet développé apparemment aéronautique."
7,323408,EPOCAL,0.22,EPOCAL: an Electrical POwer Center for Aeronautical Loads,"The main objective of the current proposal is the development of an Electrical Power Center (EPC) integrated with a devoted Control Console (CC), enhanced with advanced electrical power management strategies. The proposal is based on the following keypoints:1) an Electrical Power Center equipped with Solid State Power Controllers (SSPCs) for both energy management and protection functions will be ",core,"Le texte porte « aeronautical », « aeronautic » — objet développé apparemment aéronautique."
8,891287,IMHOTEP,2.00,Integrated Multimodal Airport Operations for Efficient Passenger Flow Management,"The airport of the future is expected to become a multimodal connection platform, creating the conditions for travellers to reach their destination by the most efficient and sustainable combination of modes and allowing the airport and its surrounding region to make a better use of their resources. The goal of IMHOTEP is to develop a concept of operations and a set of data analysis methods, predic",core,Le texte porte « airport » — objet développé apparemment aéronautique.
9,267309,TILTOP,0.29,Efficient Shape Optimization of Intake and Exhaust of a Tiltrotor Nacelle,"The present proposal describes the methodology to be used for an efficient optimization of both the intake and exhaust geometry of a tiltrotor nacelle. Specific objectives of such activity are the following: i) to set up of a comprehensive and fully automatic optimal design tool, integrating the software in use at the GRC consortium and in-house optimizer already developed by the applicant; ii) to",core,"Le texte porte « tiltrotor », « nacelle » — objet développé apparemment aéronautique."
10,865416,AS-DISCO,0.68,AS-DISCO - Audio Suite for Disruptive Cockpit Demonstrator,"This proposal answer to the call proposal identified with the code JTI-CS2-2018-CfP09-LPA-03-17, which belongs to the European program Clean Sky 2. The proposal presents AS-DISCO project which main objective is to define and implement IMA concept for Audio Communications Manager.This project will consequently contribute to the innovative and disruptive new aircraft cockpit concepts validation on L",core,"Le texte porte « aircraft », « cockpit », « avionic » — objet développé apparemment aéronautique."
11,738028,BEATTI,0.50,BEaring Advanced Technologies for Turboprop engine Innovation,"Turboprop engine is the key to contribute to the EU competitiveness growth as well as to tackle the important commitment of sustainable and green transport (SAGE programme). This innovation will be clearly addressed also by the bearings that are directly involved in power efficiency and reliability, highly crucial for the engine development itself. BEATTI project proposes advanced bearings (in ter",core,Le texte porte « turboprop » — objet développé apparemment aéronautique.
12,101140499,HEROPS,29.68,Hydrogen-Electric Zero Emission Propulsion System,"HEROPS aims to introduce climate-neutral propulsion into regional aircraft by developing MTU’s Flying Fuel Cell (FFC) propulsion system concept for entry into service in 2035. This disruptive hydrogen-electric propulsion system uses fuel cells as sole power source and a liquid hydrogen fuel system, without the need for high-power batteries. Integration of both the fuel cell system and the electric",core,"Le texte porte « certification », « aviation », « aircraft » — objet développé apparemment aéronautique."
13,890378,USEPE,2.00,U-space Separation in Europe,"The U-space concept was the response of the Warsaw Declaration in 2017 to use drones as a leverage for jobs and new business opportunities. The U-space Blueprint published by the SESAR Joint Undertaking in 2017, states that “U-space is a set of new services and specific procedures designed to support safe, efficient and secure access to airspace for large numbers of drones”.The number of drones' a",core,"Le texte porte « aircraft », « flight », « drones » — objet développé apparemment aéronautique."
14,604013,AFLONEXT,23.61,"""2nd Generation Active Wing“ –  Active Flow- Loads & Noise control on next generation wing""""",AFLoNext is a four year EC L2 project with the objective of proving and maturing highly promising flow control technologies for novel aircraft configurations to achieve a quantum leap in improving aircraft’s performance and thus reducing the environmental footprint. The project consortium is composed by forty European partners from fifteen countries. The work has been broken down into seven work p,core,"Le texte porte « flight test », « aircraft », « airframe » — objet développé apparemment aéronautique."
