review_id,source_id,acronym,titre,resume_complet,mon_label,note
1,734143,PJ10 PROSA,Controller Tools and Team Organisation for the Provision of Separation in Air Traffic Management,"Single European Sky – the vision is clearly described in the ATM Masterplan. Reaching the goals for the European Airspace is only possible with focused technical developments on European level.The air traffic controller is the main player in the traffic management at tactical level. This project aims at providing the air traffic controller with more automated tools, thus freeing capacity for situations where human intervention is crucial. This provides even safer service for an increasing amount of traffic and with lower costs, as required by airspace users.This project is a part of the SESAR programme and addresses separation management. It will not only improve current conflict detection tools, but also develop new tools aiding the air traffic controller with resolution advisory and monitoring of flight trajectory. The project also addresses new ways of working together.  Air traffic controllers traditionally work in pairs and in specific airspace. Could we change this to multi-planner setup, sector less airspace and seamless cross-border operations? Our project will ensure the research is developed to a stage where it can be used in operational air traffic management systems in Europe. This ensures that anyone can fly safer, cheaper and quicker in Europe in 10 years. Another really important issue is the integration of “Remotely Piloted Aircraft Systems” – drones.  Drones are new to European Air Traffic Management, and it is urgent to address concepts and technological developments needed to handle this kind of traffic safely.The companies involved in this project are the only ones that can deliver this kind of result. Not on their own – but as the unique cooperation between air navigation service providers and air and ground industry. The capabilities to provide sustainable results usable throughout Europe by fast-time, real-time simulations and live trials ensures that developed prototypes are working in the context of future traffic and ATM systems.",core,
2,101102010,HERWINGT,Hybrid Electric Regional Wing Integration Novel Green Technologies - HERWINGT,"Development of key technologies to address a new wing design for a HER aircraft maturing up to TRL5: manufacturing, assembly, structural concepts and processes, concept studies, configuration and architecture trade offs for a full wing component are part of the activity. As a physical demonstration concept, the detail design and manufacturing of the relevant components of a centre wing section of a HER Aircraft will be addressed.Conceptual wing studies: configuration and architecture (structural arrangement, Systems allocation and disposition, flight control system) trade offs for a full wing. Full wing structural arrangement mock up for innovative wing concepts, Structural and Multidisciplinary Optimization studies for definition of the optimal structural configuration of wing.Demonstration platform: wingbox, high lift devices, control surfaces, load alleviation devices focusing on the centre section as a demonstration platform:- Integrated Centre section wing box structure with the inner Propulsion stage: Full span (pylon to pylon) torsion box concept representative of more ambitious tip 2 tip concept. Multispar concept, Access manholes and panels, Sustainable aviation fuel and Integrated Fuel vent systems.- Inner section Leading Edges, Integrated Inductive ice protection system integration, Multifunctionality: erosion, impact, Lightning, ice protection, Morphing concepts, Functional tests, Bird strike tests (virtual or real)- Inner section Flap and high lift solutions: Integrated flap solutions. Multifunctionality application to flap.Key processing technologies: Low cost-high integrated out of autoclave technologies. Dry fiber placement and liquid resin infusion for integrated multispar torsion box. Thermoplastic composites processing: In situ consolidation for integrated flap skin and Leading edge applications. Thermoplastic welding and co-consolidation for Integration. Bonding technologies exploration towards certifiable solutions.",core,
3,211439,SCARLETT,SCAlable & ReconfigurabLe Electronics plaTforms and Tools,"The first generation of Integrated Modular Avionics (IMA1G) has been researched via European funded research projects; PAMELA, NEVADA and VICTORIA. This technology supported a revolutionary step away from federated architectures and their classical bespoke electronics to a modular architecture with common resources. IMA1G was introduced to the market on the A380, A400M and B787 aircraft. IMA1G replaces multiple, dissimilar equipment with fewer common processing and I/O modules, sharing high speed communication links. IMA1G has demonstrated possible implementation and derived benefits when applied to a limited number of aircraft functions for example; the number of processing units in the new A380 is half that of previous generations and a reduction in airline operating costs of between 15 and 20% is expected through significant weight reduction and maintenance savings. However IMA1G is only a first step in the evolution toward a full IMA concept The concept of the SCARLETT project is based on a shared analysis made by the European Aerospace Community, which has identified the need to undertake research leading to a new generation of IMA, defining a scalable, adaptable, reconfigurable fault-tolerant driven and secure avionics platform, namely the DME: Distributed Modular Electronics.  By implementing the innovations in the DME concept, SCARLETT will progress the state-of-the-art beyond the current IMA1G in the following areas: - Scalability, portability and adaptability - Fault tolerance and reconfiguration capabilities - Minimize the number of types of standardised electronic modules - Support a full range of avionics function In addition innovations in the area of advanced processes, methods and tools to improve IMA implementation efficiency are proposed. SCARLETT will place European Industry in a strong position to offer a mature common avionics platform solution across a worldwide range of aircraft types, at entry into service.",core,
4,101101978,FASTER-H2,"Fuselage, Rear Fuselage and Empennage with Cabin and Cargo Architecture Solution validation and Technologies for H2 integration","The FASTER-H2 project will validate, down select, mature and demonstrate key technologies and provide the architectural integration of an ultra-efficient and hydrogen enabled integrated airframe for targeted ultra-efficient Short/Medium Range aircraft (SMR),  i.e. 150-250 PAX and 1000-2000nm range. To enable climate-neutral flight, aircraft for short and medium-range distances have to rely on ultra-efficient thermal energy-based propulsion technologies using sustainable drop-in and non-drop-in fuels. Besides propulsion, the integration aspects of the fuel tanks and distribution system as well as sustainable materials for the fuselage, empennage are essential to meet an overarching climate-neutrality of the aviation sector. Green propulsion and fuel technologies will have a major impact on the full fuselage, including the rear fuselage, the empennage structure as well as cabin and cargo architecture in so far as the integration of storage and the integration of systems for the chosen energy source are concerned (H2, direct burn, fuel cell). Not only do the specific properties of hydrogen necessitate a re-consideration of typical aircraft configurations, requiring new design principles formulation and fundamental validation exercises, but they also raise a large number of important follow-on questions relating to hydrogen distribution under realistic operational constraints and safety aspects. The project will explore and exploit advanced production technologies for the integrated fuselage / empennage to reduce production waste and increase material and energy exploitation with Integrated Fuselage concept selected (maturity TRL3/4) until end of first phase in 2025. An anticipated route to TRL6 until end of the Clean Aviation programme in 2030 will ensure entry-into-service in 2035.",core,
5,101102011,OFELIA,Open Fan for Environmental Low Impact of Aviation,"Reducing the environmental impact of Short- and Medium-Range (SMR) aircraft is a core priority of the Clean Aviation Strategic Research and Innovation Agenda (SRIA), with the objective of enabling technologies for the next generation of SMR aircraft. In this context, propulsion remains a major lever, and the Open Fan engine architecture stands out as the most promising solution to significantly improve fuel efficiency, supporting the ambition of a 20% reduction in CO2 emissions compared to 2020 levels, while remaining compatible with an Entry into Service (EIS) around 2035.Building on strong synergies with national research programs, the OFELIA project brings together a large European consortium to contribute to the maturation of the RISE Open Fan technologies announced in June 2021. The project focuses on developing and consolidating the key technological enablers of the Open Fan architecture required to meet the performance, integration and certification challenges of future SMR aircraft.OFELIA aims to mature the Open Fan engine architecture and its technologies up to TRL5. The project also addresses engine–airframe integration aspects and regulatory considerations, with close collaboration between engine manufacturers, airframers and airworthiness authorities to ensure that installation and certification constraints are fully embedded from the early design phases.By delivering TRL5 maturity for the Open Fan key technologies, OFELIA will show a credible pathway to achieving a 20% CO2 reduction versus 2020, prepare subsequent demonstration phases within Clean Aviation Phase 2 and consolidate the roadmap towards an EIS by 2035",core,
6,101102013,HE-ART,Hybrid Electric propulsion system for regional AiRcrafT,"Air travel is an important supplement to other means of regional transportation and in some regions the only viable solution. However, the regional transport market is highly competitive, and air travel must demonstrate that it can compete with hi-speed trains, cars or coaches. One major issue is the perception of the high CO2 and greenhouse gas (GHG) emissions by planes for these short journeys. Hybridization of the propulsion system enables combining the technical components benefits, thereby achieving an overall efficiency improvement. It is a concept well understood by the general public, due to the hybridization of automobiles, and can bring a real impact on the reduction of GHG emissions.While enabling rather than limiting new sources of energy in aviation, an ambitious path to reduction of greenhouse gases and the pathway to a cleaner and greener aviation for regional flights is built upon three pillars:•Electric hybridization•An ultra-efficient turboprop thermal engine•100% SAF compatibilityHE-ART will be a first step on the path to hybridization of regional aircraft and a reduction of up to XX% of GHG. This will be accomplished by achieving a strategic global objective of demonstrating, within 36 months, the viability of a hybrid electric thermal turboprop (e-TP) within the scope of a dedicated integrated ground test demonstrator.HE-ART will build on existing state of the art integrating the following technologies into the demonstrator:•Core thermal engine•Electric motor and power electronics•Gearbox•Propeller•Nacelle and heat exchangerThis will be executed in conjunction with the Top-Level Aircraft Requirements that will be defined in parallel Clean Aviation research projects. To ensure that these requirements are met in full, HE-ART brings together the leading engine manufacturers, Rolls Royce and Safran with leading airframers, ATR, Airbus and Leonardo along with key manufacturers and research organisations.",core,
7,604999,ENOVAL,Engine Module Validators,"The ENOVAL project will provide the next step of engine technologies to achieve and surpass the ACARE 2020 goals on the way towards Flightpath 2050. ENOVAL completes the European 7th Framework Programme (FP7) roadmap of Level 2 aero engine projects. ENOVAL will focus on the low pressure system of ultra-high by-pass ratio propulsion systems (12 < BPR < 20) in conjunction with ultra high overall pressure ratio (50 < OPR < 70) to provide significant reductions in CO2 emissions in terms of fuel burn (-3% to -5%) and engine noise (-1.3 ENPdB). ENOVAL will focus on ducted geared and non-geared turbofan engines, which are amongst the best candidates for the next generation of short/medium range and long range commercial aircraft applications with an entry into service date of 2025 onward. The expected fan diameter increase of 20 to 35% (vs. year 2000 reference engine) is significant and can be accommodated within the limits of a conventional aircraft configuration. It is in line with the roadmap of the Strategic Research and Innovation Agenda for 2020 to have the technologies ready for “Optimised conventional aircraft and engines using best fuel efficiency and noise control technologies”, where UHBR propulsion systems are expressively named as a key technology. ENOVAL will be established in a consistent series of Level 2 projects in conjunction with LEMCOTEC for core engine technologies, E-BREAK for system technologies for enabling ultra high OPR engines, and OPENAIR for noise reduction technologies. Finally, ENOVAL will prepare the way towards maturing the technology and preparing industrialisation in coordination with past and existing aero-engine initiatives in Europe at FP7 and national levels.",core,
8,101256972,PHARES,Powerplant Hybrid Application for REegional Segment,"The PHARES project will accelerate and de-risk the entry into service of hybrid-electric ultra efficient regional aircraft by 2035. PHARES will mature and validate an advanced thermal engine (building on the PW127XT), an advanced propeller system and a hybrid-electric propulsion system (HEPS) in close alignment with physical integration and aerodynamical optimisation of pylon, nacelle and associated systems. In doing so, PHARES will contribute to no less than 20% of the 30% CO2 emission reduction target set out in SRIA and being fully compatible with sustainable aviation fuel. It will mature hybridisation technology to TRL5 and lay ground for its TRL progression to TRL6 via flight test demonstration in REG-03, presenting a significant steppingstone for EIS by 2035 and the vision of reaching “zero-carbon” aircraft in 2040+. To achieve its ambitious targets, the PHARES project brings together global key stakeholders of the aviation industry (airframer, OEMs, tier 1 suppliers) as well as leading RTOs, leveraging relevant synergies from national and European programmes. Teaming up with ACI-01, REG-02 and REG-03 winners, PHARES will maximise the probability of success for an EIS in 2035 and drive certification readiness to CRL5, with a clear roadmap to CRL6.Significant experience from programmes such as the Canadian HEP demonstrator, longstanding collaboration of experienced OEMs with known and reliable platforms and an excellent consortium will ensure that PHARES will achieve its targets and contribute both to the achievement of the environmental target for ultra-efficient regional turboprop aircraft and to the strengthening of European leadership in the aviation sector.",core,
9,734161,PJ18 4DTM,4D Trajectory Management,"One of the main obstacles of reaching Single European Sky’s objectives is management of flight trajectories. Inaccuracies are difficult to spot and information given to stakeholders about the trajectory is limited, arriving late, and full of inconsistencies and wrong assumptions. Military Flights are currently not integrated in the ATM-system, so demanding special treatment.Additionally, there is a lack of complete, updated, unique and coherent aeronautical and meteorological information at European level, which again limits the accuracy of the predicted trajectory and so difficult detecting incoming issues and designing optimum solutions.This project addresses solutions for the above limitations. Harmonized and global trajectory information sharing, including improved negotiation mechanisms, will enable significant operational benefits on flight management. The aim is to enable a unique and integrated view of all flights trajectories (including military ones) among the stakeholders. This is improved thanks to new tools and capabilities ensuring all stakeholders are managing a single, updated and complete view of the forecasted meteorology and airspace configuration.Both solutions above will increase safety and efficiency - a very important step towards ensuring that anyone can fly safer, cheaper and quicker in Europe in 10 years.As so many stakeholders are involved, this issue cannot be solved at national level. All stakeholders (mainly air navigation service providers, as well as air and ground industry partners) need to be involved as all will need to perform changes to ensure successful implementation. The SESAR 2020 Programme is the only place where this can happen.In this project we have ensured participation of the major ATM stakeholders which ensures having the knowledge and expertise to come up with the concepts, prototypes and platforms to provide sustainable results usable throughout Europe.",core,
10,874464,PJ10-W2 PROSA,Separation Management and Controller Tools,"This project is part of the Industrial Research & Validation phase, developed under the SJU Private Public Partnership and will contribute to the SESAR2020 Programme Lifecycle. It will build upon previous work in SESAR2020 Wave 1.  The project will further mature the concept of “Flight Centric ATC” where an air traffic controller is responsible for a certain number of aircraft throughout their entire flight segment within a given airspace whereas other controllers are responsible for different aircraft within the same airspace. Another objective is to enable collaborative control operations, where ATCOs will be able to issue instructions to aircraft that involve out-of-sector manoeuvring, without the coordination required in conventional operations. This will be accompanied by an activity to identify and validate needs that might allow a Controller to operate in any airspace classified as a particular type. That is, the ATCO will be validated on method and tools rather than a geographic specified airspace.  In addition, the project will investigate and develop the Contingency and Delegation of Airspace Operational Use Cases. It will identify the impacts on the services defined in the Virtual Centre concept and validate the concept within a realistic environment based on contingency needs or on organisation needs (either static, on a fixed-time transfer schedule, or dynamic, when the traffic density is below/above a certain level).  In order to reduce the workload and mental strain on the controllers in the ATC centre, especially under high traffic density/complexity situations, the project will investigate new human machine interface interaction modes and technologies. This work will consider modern design and development approaches as well as methodologies such as modularity, service-oriented architecture, adaptive automation. The project will in  particular address Automatic Speech Recognition, Attention Guidance and enhanced User Profile Management Systems.",core,
