rule_type,value,tag,sources,evidence,source
programme,FP7-SPACE,core,,Programme-cadre FP7 « Space » — spatial par définition,CORDIS (référentiel des programmes FP7)
programme,H2020-EU.2.1.6.,core,,Volet « Leadership in enabling and industrial technologies — Space » de H2020,CORDIS (référentiel des programmes H2020)
programme,AST,core,,Division of Astronomical Sciences de la NSF — science spatiale,nsf.gov (organigramme MPS/AST)
programme,AGS,adjacent,,Division of Atmospheric and Geospace Sciences — le géospace y côtoie l'atmosphérique : adjacent,nsf.gov (organigramme GEO/AGS)
theme,/23/43/257,core,,Sous-arbre euroSciVoc « astronomy » entier (astrophysique·planètes·exploration),euroSciVoc (code /23/43/257)
theme,/25/75/461/1239/1739,core,,euroSciVoc « satellite technology »,euroSciVoc (code)
theme,/25/75/461/1239/51612216,core,,euroSciVoc « spacecraft »,euroSciVoc (code)
theme,/29/99/547/1351/1765/1835,core,,euroSciVoc « global navigation satellite system »,euroSciVoc (code)
theme,/25/75/461/1239,adjacent,,euroSciVoc « aerospace engineering » — l'aéronautique s'y mêle au spatial : adjacent,euroSciVoc (code)
text,earth observation,core,cordis|nsf,Observation de la Terre — segment applicatif spatial,motif validé à la main (2026-08-05)
text,in-orbit,core,cordis|nsf,Services et opérations en orbite,motif validé à la main (2026-08-05)
text,space debris,core,cordis|nsf,Débris spatiaux,motif validé à la main (2026-08-05)
text,spacecraft,core,cordis|nsf,Véhicule spatial,motif validé à la main (2026-08-05)
text,launch vehicle,core,cordis|nsf,Lanceur,motif validé à la main (2026-08-05)
text,reusable launcher,core,cordis|nsf,Lanceur réutilisable,motif validé à la main (2026-08-05)
text,cubesat,core,cordis|nsf,Nanosatellites CubeSat,motif validé à la main (2026-08-05)
text,space mission,core,cordis|nsf,Mission spatiale,motif validé à la main (2026-08-05)
text,satellite communication,core,cordis|nsf,Télécommunications par satellite,motif validé à la main (2026-08-05)
text,satellite navigation,core,cordis|nsf,Navigation par satellite,motif validé à la main (2026-08-05)
text,space weather,core,cordis|nsf,Météorologie de l'espace,motif validé à la main (2026-08-05)
text,space situational awareness,core,cordis|nsf,Surveillance de l'espace,motif validé à la main (2026-08-05)
text,exoplanet,core,cordis|nsf,Exoplanètes — science spatiale,motif validé à la main (2026-08-05)
text,microgravity,adjacent,cordis|nsf,Micropesanteur — recherche EN espace plus que SUR l'espace : adjacent,motif validé à la main (2026-08-05)
