n,concept,source_id,acronym,appel,meur,titre,resume_court,label_propose,raison
1,aircraft,690608,AMOS,H2020-MG-2015_SingleStage-A,1.40,Additive Manufacturing Optimization and Simulation Platform for repairing and re-manufacturing of aerospace components,This research project focuses on several key Direct Energy Deposition (DED) Additive Manufacturing (AM) processes that have great potential to be used as cost-effective and efficie,borderline,Fabrication additive DED généraliste — aucun débouché aviation déclaré dans le texte
2,aircraft,101073037,IN-NOVA,HORIZON-MSCA-2021-DN-01,2.52,Active reduction of noise transmitted into and from enclosures through encapsulated structures,"To better reduce exposure of people to noise and increase their acoustic comfort, innovative noise barriers should be developed. The overarching aim of IN-NOVA is to provide a top-",excluded,"Barrières acoustiques et bruit d'enceintes — acoustique générale, pas d'aéronef"
3,aircraft,101130915,AQUARIUS,HORIZON-INFRA-2023-SERV-01,14.50,"Aqua Research Infrastructure Services for the health and protection of our unique, oceans, seas and freshwater ecosystems",AQUARIUS will provide a highly comprehensive suite of integrated research infrastructures appropriate to addressing significant challenges for the long-term sustainability of our u,excluded,Infrastructures de recherche aquacole — hors sujet
4,aircraft,774918,HYBPRO,H2020-SMEINST-1-2016-2017,0.05,HYBRID PROPULSION FOR AVIATION,"Currently, the light aircraft industry lacks the means to retrofit aircrafts with hybrid technology. This shortcoming leads to ahost of problems, of the most significant include: h",core,Propulsion hybride pour avions légers : rétrofit d'aéronefs
5,aircraft,101147312,SAGELI,HORIZON-CL5-2023-D2-02,4.98,ADVANCED SAFER MATERIALS AND HIGH PERFORMING CELLS FOR THE NEXT GENERATION OF LI-ION BATTERIES SUITABLE FOR MOBILITY APPLICATIONS,"SAGELi aims to develop safer materials and cells that meet Batteries Europe’s 2030 targets for safety, performance, lifetime, sustainability and cost including EUCAR level <3. SAGE",excluded,Cellules et matériaux de batteries (cibles Batteries Europe)
6,aircraft,787674,DRIVER GLASS,H2020-SMEINST-1-2016-2017,0.05,Terrestrial Traffic Mixed Reality Navigation,"Augmented Reality and Virtual Reality technology is driving the evolution of the automotive industry, where OEMs consider this field a point of interest for both increased road saf",excluded,Réalité augmentée pour l'automobile
7,aircraft,868389,ROBIRD,H2020-SMEInst-2018-2020-1,0.05,A truly and unique robotic bird of prey for a long-term effective and safe bird control management of airports,The aviation industry spends up to 7 billion euros per year on bird strike damage and delays and there is an average of more than twenty thousand bird strikes annually. Bird activi,core,Oiseau-robot de dissuasion : développe l'aéronef ET sert les opérations aéroportuaires
8,aircraft,727420,TC2D,ERC-2016-PoC,0.13,2D nanomaterials-based composite films for more efficient thermal conduction,The aim of this proposal is to determine the economic and technical feasibility of using readily scalable technologies for the development of inexpensive and high performance solut,excluded,Films nanocomposites pour gestion thermique — sans débouché aviation déclaré
9,aircraft,642121,FULLCOMP,H2020-MSCA-ITN-2014,3.10,"FULLY INTEGRATED ANALYSIS, DESIGN, MANUFACTURING AND HEALTH-MONITORING OF COMPOSITE STRUCTURES","Composite structures are massively exploited in many engineering fields. For instance, the state-of-the-art civil aircraft (B787 and A350) are mostly made of composite materials. T",enabling,"Composites : l'avion civil (B787, A350) est le débouché explicite du réseau"
10,aircraft,748945,NESTOR,H2020-MSCA-IF-2016,0.25,Next gEneration Sequence sTORage,"Sequential data are everywhere, from DNA sequences to astronomical light curves, and from aircraft engine monitoring data to the prices of stock options. Recent advances in various",excluded,Stockage de séquences ; les données moteur ne sont qu'un exemple parmi d'autres
